SquareFootage,Bedrooms,Bathrooms,YearBuilt,NeighborhoodQuality,DistanceToCenter,Price
,5.0,1.7,1994.0,2.0,2.07,535240.7122951685
2710.28,4.0,4.51,1957.0,1.0,8.4,554468.0354824322
3139.78,6.0,2.9,1944.0,1.0,27.04,572562.3280715104
4096.08,6.0,4.52,1929.0,2.0,43.39,737487.4478461203
4807.4,3.0,2.05,2019.0,2.0,8.97,826687.6993791499
2052.32,4.0,5.21,1929.0,6.0,3.78,607195.9456457623
5888.21,4.0,2.98,1958.0,3.0,28.29,1016649.6922326109
6053.57,7.0,5.99,1963.0,1.0,8.07,1145137.0209372935
6964.57,7.0,5.98,2024.0,1.0,6.17,1268733.3842109756
7633.34,6.0,3.17,2022.0,5.0,38.22,1316879.4006537895
1510.9,4.0,4.81,1999.0,1.0,24.69,326813.73460781306
3948.32,5.0,2.2,1910.0,8.0,48.91,757532.0536964461
1694.72,3.0,5.36,1927.0,4.0,20.25,449287.4340734905
4047.49,8.0,2.12,1975.0,10.0,4.01,978794.296330133
2674.95,6.0,2.19,1927.0,10.0,12.53,721578.7325123046
4367.07,7.0,3.06,1906.0,2.0,36.55,753176.1870613854
1538.06,8.0,1.92,2011.0,8.0,42.87,445306.53319498367
6695.38,1.0,5.63,1921.0,8.0,20.35,1275570.709988929
4100.24,5.0,4.93,1989.0,9.0,24.59,926245.6388671818
2568.16,1.0,1.29,1964.0,9.0,48.06,485659.4444799706
2265.34,4.0,5.71,1974.0,10.0,33.04,686865.7315338233
3505.51,6.0,2.98,1938.0,,31.25,753289.855492702
1449.82,5.0,2.75,1931.0,3.0,27.39,341315.9230703189
9846.61,1.0,3.77,1913.0,3.0,44.54,1487400.277206798
1976.76,4.0,2.02,1933.0,5.0,42.38,386608.2591321223
4523.97,1.0,1.65,1920.0,9.0,28.26,868479.338845648
9477.98,3.0,5.17,1918.0,1.0,45.0,1442832.0963386653
8676.67,4.0,4.33,1971.0,7.0,37.6,1515935.970275185
2749.0,3.0,1.12,1942.0,7.0,43.27,515930.41965121793
3034.65,2.0,1.19,1925.0,8.0,41.12,581262.0937531008
2617.77,7.0,5.32,1935.0,9.0,49.07,672829.9008165591
9422.75,5.0,5.81,1913.0,6.0,16.03,1734306.672767634
5358.52,4.0,,2018.0,4.0,3.96,1001695.5416289311
3636.9,2.0,2.5,1952.0,5.0,10.0,704669.3360656615
4101.88,3.0,2.5,1900.0,4.0,29.21,734990.1736815479
4917.39,4.0,4.97,1994.0,2.0,33.36,828615.8452504347
1387.18,4.0,2.12,1903.0,8.0,38.54,397989.95392507134
8918.3,7.0,2.22,1900.0,2.0,11.33,1473759.9481418033
7111.16,4.0,1.61,1959.0,9.0,47.53,1221361.2092665236
6320.2,7.0,3.74,1995.0,8.0,12.74,1292562.9185380368
7775.23,4.0,1.39,1934.0,9.0,7.97,1466251.4986999312
1951.65,7.0,3.71,1926.0,7.0,29.41,561288.0242178496
8638.95,7.0,5.71,1949.0,7.0,36.86,1577727.7757641764
9029.21,5.0,1.15,1986.0,3.0,46.02,1384804.9445661604
5574.17,1.0,3.14,1923.0,7.0,23.01,997717.6701444886
8856.58,7.0,,1969.0,6.0,3.9,1610989.3368740794
882.45,4.0,1.1,1916.0,2.0,11.29,223587.91843560318
7785.53,2.0,1.82,,5.0,45.45,1238736.3333932837
9443.97,4.0,4.86,1976.0,10.0,17.69,1775879.774343527
4020.42,,3.1,1955.0,8.0,22.06,817437.397669559
9672.0,8.0,5.13,1941.0,2.0,22.81,1659831.259540922
5913.57,,5.25,1927.0,5.0,44.08,1024019.2657937553
,4.0,4.6,1997.0,8.0,24.8,642446.1699954106
1384.01,4.0,3.91,1967.0,9.0,35.29,474106.64433261304
2888.33,4.0,4.71,1988.0,4.0,14.19,660344.4928374393
7721.98,2.0,2.48,,9.0,2.75,1468616.201786743
3275.3,8.0,1.06,1961.0,3.0,13.0,655906.7371516604
1583.83,8.0,4.15,1919.0,5.0,12.79,522566.31436223176
4453.65,4.0,2.9,1938.0,7.0,31.24,872296.4514710534
7530.85,4.0,2.32,1930.0,2.0,20.72,1238500.6769068353
4964.17,5.0,4.51,1987.0,5.0,31.44,933317.8864323207
9369.85,4.0,5.54,1909.0,5.0,41.3,1574592.6153500427
4671.96,5.0,5.71,1963.0,10.0,21.89,1057728.9753899095
2878.5,1.0,4.36,1905.0,3.0,32.75,492781.9006387899
2224.15,8.0,3.35,1941.0,3.0,34.84,503290.38733591296
9479.34,1.0,2.57,2024.0,9.0,0.56,1731964.6004285624
4888.78,6.0,3.49,1906.0,9.0,14.76,1072756.848176295
,4.0,,1952.0,2.0,6.31,531122.9934683804
5234.57,5.0,3.41,1958.0,7.0,30.17,1018300.0403757145
1796.83,7.0,4.94,1900.0,5.0,29.21,501017.70368092315
8719.98,8.0,3.76,1958.0,4.0,12.32,1571657.9340826261
8632.12,6.0,4.53,1949.0,3.0,2.33,1566498.5484969898
6106.71,8.0,,1918.0,3.0,39.19,1042899.1094133507
6420.96,2.0,5.26,1948.0,8.0,2.28,1314973.6548372102
6496.03,4.0,3.17,1981.0,2.0,34.85,1003958.3234386538
936.91,5.0,3.15,1952.0,3.0,4.41,352635.03756562836
6387.25,3.0,4.19,,8.0,34.04,1186073.2060235725
4696.43,5.0,3.12,2008.0,7.0,5.78,995039.389743012
3910.11,,5.15,1901.0,1.0,37.39,648722.9116480325
9077.88,4.0,2.76,1979.0,3.0,45.22,1386408.4662809863
3434.86,6.0,1.45,1995.0,4.0,27.2,649333.9216824373
5543.1,3.0,5.12,2003.0,6.0,23.68,1063181.6885726762
7664.44,7.0,5.02,2001.0,5.0,23.01,1433204.4106711228
6887.24,6.0,,2013.0,6.0,11.46,1280931.9467258954
8326.63,5.0,1.58,1904.0,8.0,12.12,1507107.095956602
4192.14,7.0,4.63,1983.0,8.0,46.98,877954.644346232
7057.67,8.0,5.28,1987.0,6.0,14.16,1405501.531765531
9515.6,2.0,4.21,1902.0,6.0,6.73,1676281.2666448953
1151.8,4.0,5.07,1999.0,,42.99,372253.5969434944
1734.93,3.0,5.33,1945.0,4.0,1.28,515698.51149670035
1704.21,2.0,3.38,1965.0,8.0,47.3,412787.66324022063
7940.66,5.0,5.82,1961.0,7.0,24.77,1497718.6748579934
1198.16,3.0,2.38,1970.0,7.0,26.76,356513.2035918397
6251.55,2.0,4.25,1992.0,7.0,11.81,1187387.5678010334
4808.24,2.0,2.56,2022.0,8.0,41.67,871544.3777030177
1417.36,3.0,3.93,1942.0,7.0,33.43,388961.27577801823
8746.88,5.0,2.76,1927.0,8.0,5.86,1629093.8041559684
3991.83,4.0,5.23,2004.0,,46.49,802820.3290826983
3040.75,5.0,2.76,1918.0,7.0,37.18,649849.201849637
1371.7,7.0,2.7,1992.0,10.0,44.23,478546.1929993728
7667.14,2.0,4.31,1956.0,4.0,6.13,1326650.4388692437
3190.84,8.0,2.54,2026.0,1.0,47.29,526246.3201585197
7759.53,,4.74,1948.0,4.0,41.75,1273338.7822520984
1184.72,1.0,3.3,1940.0,10.0,32.19,400103.84096167574
4347.81,3.0,4.09,2017.0,7.0,12.54,913932.21432501
5477.64,5.0,2.11,1909.0,2.0,10.1,964606.7628522181
3835.45,3.0,1.73,1977.0,2.0,38.76,616930.2885181579
7667.24,8.0,5.41,2026.0,6.0,3.88,1519264.6671924775
3376.79,1.0,1.37,1904.0,5.0,43.28,547941.7558608415
6342.58,8.0,5.77,1905.0,10.0,16.42,1386410.3112635075
1933.18,2.0,5.19,1910.0,3.0,35.53,363405.43177051435
5478.65,6.0,2.41,1943.0,1.0,32.54,886979.7918682618
1397.81,5.0,5.26,1977.0,6.0,33.35,440724.9531491154
3447.2,7.0,4.54,1971.0,6.0,33.67,798818.6316872793
7518.36,2.0,3.12,1946.0,4.0,38.42,1202008.5855282831
9999.78,5.0,1.51,2006.0,9.0,17.17,1783180.2101350043
1744.97,3.0,4.46,2015.0,8.0,18.53,539834.8234544214
9711.09,8.0,2.2,2000.0,4.0,47.38,1560993.329435707
4885.96,7.0,3.09,1925.0,3.0,3.08,982596.3422177254
4026.52,2.0,4.82,2015.0,7.0,45.57,779946.9954903016
8903.98,7.0,3.51,1910.0,1.0,5.4,1531462.4792056456
3685.26,1.0,5.15,1917.0,8.0,0.76,854868.188178079
2931.28,7.0,2.44,1906.0,10.0,5.99,846563.9146640415
,4.0,,1945.0,7.0,33.58,538232.2340581157
3925.74,1.0,3.35,2025.0,1.0,3.84,693143.8564070041
6742.49,6.0,2.76,1982.0,8.0,24.19,1316860.3343871497
1781.1,8.0,2.01,2013.0,5.0,49.46,389126.95512303966
2906.48,4.0,5.31,1983.0,2.0,22.13,577287.5340559584
4677.5,6.0,3.48,2018.0,5.0,36.49,878249.7704763146
6223.31,5.0,1.4,1939.0,7.0,22.47,1136534.365188257
7404.74,7.0,5.9,1909.0,7.0,40.15,1365001.048534008
9551.5,8.0,1.34,1946.0,10.0,8.1,1806253.4446220903
4024.16,2.0,3.65,1983.0,,9.71,836559.4442941084
9178.65,5.0,2.07,1988.0,8.0,7.22,1678641.3864595278
2140.24,2.0,5.84,1985.0,2.0,14.87,459434.6364864929
1996.3,3.0,3.54,1925.0,4.0,1.8,533094.016075263
4004.66,3.0,1.43,1991.0,9.0,20.77,825240.2006149564
1690.6,2.0,4.4,2012.0,9.0,9.51,563229.0772569148
4609.87,1.0,3.59,1920.0,4.0,47.07,749273.2582605451
8536.37,5.0,2.51,1964.0,10.0,8.13,1612802.5352534908
7346.01,1.0,1.14,1982.0,5.0,38.46,1152733.399019062
6570.42,5.0,2.51,2003.0,5.0,34.59,1151600.1413142364
4448.41,6.0,2.56,1993.0,6.0,6.97,913439.2514815816
5835.69,8.0,3.25,1906.0,7.0,21.2,1174523.0078779845
9071.95,6.0,1.8,1959.0,5.0,4.96,1600810.7419137263
4843.69,6.0,2.41,2007.0,8.0,0.9,1073780.8430766596
1772.38,6.0,2.83,1972.0,6.0,4.14,531482.7393368288
7761.84,2.0,1.48,2026.0,6.0,10.35,1323019.150803736
5250.74,3.0,5.02,1919.0,9.0,46.6,1026040.1234842534
4233.07,5.0,3.54,1962.0,5.0,1.32,906255.2700984977
1541.24,5.0,4.63,1903.0,5.0,39.25,409793.39275518816
5987.53,8.0,4.15,2007.0,4.0,47.44,1064006.2231424546
679.9,3.0,2.02,1978.0,1.0,26.17,123674.62917632263
9982.17,7.0,1.87,1943.0,5.0,10.02,1738149.305457415
5801.82,5.0,4.52,1962.0,6.0,46.76,1049789.0870994802
3234.0,7.0,2.97,1998.0,5.0,47.79,620414.7287296045
9278.09,8.0,5.14,1971.0,3.0,37.17,1605990.1176671714
982.27,4.0,1.26,1991.0,,27.74,331427.9938136768
4365.62,8.0,2.0,1941.0,1.0,4.93,807183.4475419603
5583.95,1.0,1.88,1922.0,1.0,20.15,864590.8041295074
9397.78,5.0,1.05,1913.0,6.0,49.46,1492666.7749465902
5192.17,8.0,5.04,1993.0,5.0,1.2,1132831.7690561367
3302.73,4.0,5.28,2005.0,6.0,33.63,727498.4336851111
1835.81,,2.92,1934.0,5.0,28.86,404881.26522472437
3915.74,2.0,1.8,2018.0,5.0,32.12,696451.6419386648
3991.67,3.0,3.27,1947.0,9.0,37.99,826372.2139040475
